OID,TARGET_FID,Site,Data_Sourc,Selected_I,LON_M,LAT_M,Id,Area,Perim,Capacity,IF_d5089,IF_d0_p0,IF_d5000,IF_d1000,IF_d1500,IF_d2000,IF_d2500,IF_d3000,IF_d3500,IF_d4000,IF_d4500,IF_d5001,IF_d5500,IF_d6000,IF_d6500,IF_d7000,IF_d7500,IF_d8000,IF_d8500,IF_d9000,IF_d9500,IF_d1001,IF_d1050,IF_d1100,IF_d1150,IF_d1200,IF_d1250,IF_d1300,IF_d1350,IF_d1400,IF_d1450,IF_d1501,IF_d1550,IF_d1600,IF_d1650,IF_d1700,IF_d1750,IF_d1800,IF_d1850,IF_d1900,IF_d1950,IF_d2001,IF_d2050,IF_d2100,IF_d2150,IF_d2200,IF_d2250,IF_d2300,IF_d2350,IF_d2400,IF_d2450,IF_d2501,IF_d1716,IF_d9612
-1,1,Looe,NOAA Cory Ames,Yes,158763.691499999724329,23562.138399999588728,27140,950100.000000000000000,19360.000000000000000,793522.970032692304812,73685968732598.296875000000000,nan,3912597986163.368164062500000,6982379291107.154296875000000,12666815487131.107421875000000,20592312310724.417968750000000,29586732996654.234375000000000,38840674918168.781250000000000,47909763709395.757812500000000,56573712103436.820312500000000,64736685848097.195312500000000,72369863178804.781250000000000,79479673750456.921875000000000,86090318418701.843750000000000,92234130546880.171875000000000,97946276510642.156250000000000,103261885451325.656250000000000,108214551851340.093750000000000,112835617093689.593750000000000,117153891330668.046875000000000,121195620339850.765625000000000,124984583948840.859375000000000,128542260080769.078125000000000,131888016300044.593750000000000,135039307180813.328125000000000,138011865575414.625000000000000,140819881642522.750000000000000,143476166897571.843750000000000,145992302518114.062500000000000,148378772242156.656250000000000,150645080782436.781250000000000,152799858953581.281250000000000,154850956800445.718750000000000,156805526002939.000000000000000,158670092763167.937500000000000,160450622283789.031250000000000,162152575839002.812500000000000,163780961332063.437500000000000,165340378130403.906250000000000,166835056875007.562500000000000,168268894874945.781250000000000,169645487621686.562500000000000,170968156890317.656250000000000,172239975835549.187500000000000,173463791438571.531250000000000,174642244615640.031250000000000,175777788260087.937500000000000,176872703455174.250000000000000,177929114065651.218750000000000,178948999890148.531250000000000,179934208534093.875000000000000,180886466143439.562500000000000,15896623227322.982421875000000,122071688567140.921875000000000
-1,2,New Found Harbor,NOAA Cory Ames,Yes,160213.931200000457466,31225.577400000765920,27229,70519600.000000000000000,1597600.000000000000000,57141387.225896142423153,11933308326978724.000000000000000,nan,6311709288112500.000000000000000,7546563679152853.000000000000000,8461131927551316.000000000000000,9196489726551850.000000000000000,9813480046098962.000000000000000,10342786611641792.000000000000000,10802851223635738.000000000000000,11206400311006306.000000000000000,11562969579792080.000000000000000,11880024185469070.000000000000000,12163548998312152.000000000000000,12418411620836154.000000000000000,12648611041742594.000000000000000,12857459202668462.000000000000000,13047718396061660.000000000000000,13221707385525066.000000000000000,13381384427827354.000000000000000,13528412823147514.000000000000000,13664213056045824.000000000000000,13790004543162926.000000000000000,13906839263966680.000000000000000,14015629011027604.000000000000000,14117167594851832.000000000000000,14212149036260994.000000000000000,14301182550219526.000000000000000,14384804950146536.000000000000000,14463490967529878.000000000000000,14537661878113200.000000000000000,14607692745626528.000000000000000,14673918531461852.000000000000000,14736639269689934.000000000000000,14796124468262120.000000000000000,14852616866737768.000000000000000,14906335656663974.000000000000000,14957479251390284.000000000000000,15006227676599352.000000000000000,15052744640339716.000000000000000,15097179331248562.000000000000000,15139667985441348.000000000000000,15180335255847028.000000000000000,15219295412284954.000000000000000,15256653396067664.000000000000000,15292505749193000.000000000000000,15326941435102068.000000000000000,15360042565420880.000000000000000,15391885044958626.000000000000000,15422539145451364.000000000000000,15452070017031376.000000000000000,15480538145142608.000000000000000,15507999759544932.000000000000000,8796898023256782.000000000000000,13693425921361758.000000000000000
-1,3,Sombrero,NOAA Cory Ames,Yes,188822.790199999697506,32400.122700000181794,25904,1603300.000000000000000,20440.000000000000000,1271522.121900320751593,164395867639521.281250000000000,nan,6677985878877.460937500000000,18197057749345.671875000000000,38267705024093.468750000000000,60562977299408.085937500000000,82022758061282.859375000000000,101689038328890.578125000000000,119400299373895.640625000000000,135267364005834.718750000000000,149480945234867.343750000000000,162241478034064.781250000000000,173734556934136.062500000000000,184123826273125.968750000000000,193550552412507.812500000000000,202135599998545.000000000000000,209982082513027.312500000000000,217177999341811.187500000000000,223798608706962.187500000000000,229908469774367.281250000000000,235563162167886.843750000000000,240810718452038.781250000000000,245692811893920.187500000000000,250245740064692.062500000000000,254501240014551.093750000000000,258487165241251.281250000000000,262228049464404.187500000000000,265745577669969.625000000000000,269058981070917.656250000000000,272185369491362.156250000000000,275140012131777.750000000000000,277936575614560.000000000000000,280587326552110.343750000000000,283103304546636.375000000000000,285494470457736.750000000000000,287769833908372.812500000000000,289937563300424.625000000000000,292005081044051.000000000000000,293979146244212.812500000000000,295865926711832.625000000000000,297671061859531.187500000000000,299399717789359.375000000000000,301056635671976.750000000000000,302646174344755.562500000000000,304172347913900.187500000000000,305638859026805.875000000000000,307049128382172.812500000000000,308406320962352.937500000000000,309713369402815.687500000000000,310972994855044.312500000000000,312187725649682.937500000000000,313359914024639.687500000000000,47898656237150.007812500000000,236780994851140.031250000000000
-1,4,Cheeca Rocks,NOAA Cory Ames,Yes,238841.830900000408292,63275.476299999281764,13535,915300.000000000000000,28000.000000000000000,718424.151152372709475,130991889557488.000000000000000,nan,25988753447219.996093750000000,45077524312246.914062500000000,62542206988185.218750000000000,77431661132566.421875000000000,89980403999390.906250000000000,100591623838322.671875000000000,109631815167912.859375000000000,117399711526684.953125000000000,124131573813291.953125000000000,130013025588412.031250000000000,135190275655669.734375000000000,139779231249490.500000000000000,143872524404997.625000000000000,147544830024901.093750000000000,150856872830217.250000000000000,153858452853070.281250000000000,156590742349229.343750000000000,159088042025929.656250000000000,161379134484125.937500000000000,163488335790737.187500000000000,165436319187373.875000000000000,167240765471132.718750000000000,168916880489720.375000000000000,170477809955940.531250000000000,171934974309943.468750000000000,173298340861772.593750000000000,174576646378563.468750000000000,175777580247524.687500000000000,176907936067445.875000000000000,177973737798102.781250000000000,178980345283469.937500000000000,179932542957326.906250000000000,180834614761505.000000000000000,181690407702186.968750000000000,182503385996420.593750000000000,183276677388647.375000000000000,184013112922303.531250000000000,184715261217033.062500000000000,185385458114269.250000000000000,186025832403146.250000000000000,186638328216647.187500000000000,187224724588864.187500000000000,187786652583517.906250000000000,188325610337644.843750000000000,188842976310027.531250000000000,189340020978899.437500000000000,189817917196251.687500000000000,190277749375010.781250000000000,190720521659490.937500000000000,191147165207790.812500000000000,69300169599022.828125000000000,161870068571581.875000000000000
-1,5,Horseshoe,NOAA Cory Ames,Yes,271105.315299999900162,89440.865100000053644,9295,2485400.000000000000000,115580.000000000000000,1975644.691389799816534,122371941907685.937500000000000,nan,8975876289038.246093750000000,14410192171271.464843750000000,20271101385009.667968750000000,28561887466659.421875000000000,39960009808483.273437500000000,53912726784659.929687500000000,69533038199694.265625000000000,86024703952424.015625000000000,102790303179088.750000000000000,119419450171677.828125000000000,135646842623769.921875000000000,151311096213280.125000000000000,166322252153318.750000000000000,180638174157756.906250000000000,194248056644830.468750000000000,207161133301629.031250000000000,219399037978183.843750000000000,230990680917160.093750000000000,241968840658724.156250000000000,252367920653404.562500000000000,262222494548642.718750000000000,271566384460253.156250000000000,280432098494740.843750000000000,288850509389122.875000000000000,296850693846733.000000000000000,304459877768488.562500000000000,311703450031064.875000000000000,318605019385859.000000000000000,325186497220361.437500000000000,331468194532432.687500000000000,337468925325742.125000000000000,343206111290036.312500000000000,348695884455859.875000000000000,353953185766515.437500000000000,358991858365571.687500000000000,363824734978140.000000000000000,368463719152178.187500000000000,372919860381445.375000000000000,377203423294450.687500000000000,381323951193356.312500000000000,385290324282451.125000000000000,389110812952064.062500000000000,392793126490314.875000000000000,396344457588571.562500000000000,399771522992011.437500000000000,403080600627312.937500000000000,406277563517542.625000000000000,409367910771338.187500000000000,412356795910772.687500000000000,415249052779667.062500000000000,23481750232162.222656250000000,244364218029424.906250000000000
-1,6,Turtle Rocks,NOAA Florida Keys National Marine Sanctuary Map Library,No,279746.024000000208616,104591.570100000128150,7338,1042000.000000000000000,35680.000000000000000,848506.050473451963626,64440123935256.085937500000000,nan,1392547453177.899658203125000,3464213221557.789062500000000,7512492156490.572265625000000,13518536244422.062500000000000,20985309716495.234375000000000,29291646053882.488281250000000,37932310619643.773437500000000,46562663499167.710937500000000,54969730570000.125000000000000,63032620785733.117187500000000,70690454950301.156250000000000,77919912166265.968750000000000,84720423716383.796875000000000,91104687285427.671875000000000,97092689605210.171875000000000,102707988325550.843750000000000,107975432892524.171875000000000,112919797019188.296875000000000,117564986419779.390625000000000,121933607841369.515625000000000,126046763244539.109375000000000,129923982428580.687500000000000,133583238875977.609375000000000,137041013697647.312500000000000,140312385446851.406250000000000,143411131851720.000000000000000,146349834847943.250000000000000,149139983724749.531250000000000,151792073400264.875000000000000,154315696247958.593750000000000,156719626782906.031250000000000,159011899066308.562500000000000,161199877017013.125000000000000,163290318007336.250000000000000,165289430217934.031250000000000,167202924266182.437500000000000,169036059626526.656250000000000,170793686343881.468750000000000,172480282511538.312500000000000,174099987949604.156250000000000,175656634482119.718750000000000,177153773173356.468750000000000,178594698847712.250000000000000,179982472183774.156250000000000,181319939642063.812500000000000,182609751457667.812500000000000,183854377903462.281250000000000,185056124006794.531250000000000,186217142882067.437500000000000,187339447823536.312500000000000,9894135243775.007812500000000,118573928568777.750000000000000
-1,7,South of Key Colony Beach Marker 48,NOAA Florida Keys National Marine Sanctuary Map Library,No,197008.804999999701977,39486.534299999475479,24237,18400.000000000000000,700.000000000000000,17350.411236286170606,2856004169110.258789062500000,nan,141682072788.175109863281250,621125466494.576293945312500,1086603555387.401611328125000,1475988003542.290283203125000,1799434853190.309082031250000,2071433449879.374755859375000,2303254689109.294433593750000,2503180524037.197265625000000,2677356133976.264648437500000,2830433848759.208984375000000,2966005015478.187011718750000,3086889307445.819824218750000,3195332948270.510253906250000,3293148012360.286132812500000,3381812596684.209472656250000,3462544301489.493164062500000,3536355060326.698730468750000,3604092663471.112792968750000,3666472615795.486816406250000,3724102863684.566894531250000,3777503188408.687011718750000,3827120561381.023437500000000,3873341408312.876953125000000,3916501483418.210937500000000,3956893878759.830566406250000,3994775566089.412597656250000,4030372774758.140625000000000,4063885439682.952636718750000,4095490901202.415527343750000,4125346999211.131347656250000,4153594673880.015625000000000,4180360162137.979980468750000,4205756861178.929687500000000,4229886916284.947753906250000,4252842579286.828613281250000,4274707375316.559570312500000,4295557108617.916503906250000,4315460732678.909179687500000,4334481105522.836914062500000,4352675647426.848144531250000,4370096915434.933105468750000,4386793106669.385742187500000,4402808500509.859375000000000,4418183848115.498046875000000,4432956716452.452148437500000,4447161792897.161132812500000,4460831155580.056640625000000,4473994513875.793945312500000,4486679422811.708984375000000,4498911474630.704101562500000,1264273486945.159179687500000,3679869072367.855957031250000
-1,8,Coffins Patch Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,203375.940700000151992,38957.126599999144673,24429,131300.000000000000000,3280.000000000000000,111998.492956161542679,10557722307684.669921875000000,nan,54526301102.944084167480469,330192722970.371154785156250,1128566394524.083251953125000,2340185717894.284667968750000,3743780561708.182128906250000,5191148306274.962890625000000,6603433369323.894531250000000,7943342615738.071289062500000,9196020168048.279296875000000,10358246775926.019531250000000,11432618028067.685546875000000,12424441553896.457031250000000,13340093122055.998046875000000,14186157380454.751953125000000,14968993235443.712890625000000,15694529802376.226562500000000,16368187051185.138671875000000,16994862784605.484375000000000,17578953570160.888671875000000,18124391652410.625000000000000,18634687947766.300781250000000,19112975786050.519531250000000,19562052647555.839843750000000,19984418604086.164062500000000,20382310987153.183593750000000,20757735249686.187500000000000,21112492216890.371093750000000,21448202028778.964843750000000,21766325114839.851562500000000,22068180541474.050781250000000,22354962053527.925781250000000,22627752102887.781250000000000,22887534125731.988281250000000,23135203298893.523437500000000,23371575976562.730468750000000,23597397982047.714843750000000,23813351905729.394531250000000,24020063539657.886718750000000,24218107561268.890625000000000,24408012563148.750000000000000,24590265512404.062500000000000,24765315711712.632812500000000,24933578324278.015625000000000,25095437516470.230468750000000,25251249264710.351562500000000,25401343866948.097656250000000,25546028193768.789062500000000,25685587709594.847656250000000,25820288290521.382812500000000,25950377861943.863281250000000,1616496122522.720458984375000,17705249154547.835937500000000
-1,9,Davis Reef Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,250009.411399999633431,65376.984600000083447,13218,451400.000000000000000,9600.000000000000000,353320.912086963828187,42004322196513.015625000000000,nan,1872199383759.714355468750000,4127496133147.016601562500000,8468951047877.479492187500000,13744960959334.552734375000000,19173875157332.722656250000000,24385485886604.554687500000000,29231848599928.992187500000000,33671711762365.628906250000000,37712367795474.554687500000000,41381512839680.101562500000000,44713819432891.335937500000000,47744668908155.921875000000000,50507378670527.093750000000000,53032133813609.281250000000000,55345738140171.789062500000000,57471743420739.671875000000000,59430736663856.710937500000000,61240676669179.468750000000000,62917227894138.781250000000000,64474068603176.320312500000000,65923164887850.492187500000000,67275009338322.460937500000000,68538826481823.335937500000000,69722748451191.390625000000000,70833964692235.187500000000000,71878849382757.687500000000000,72863069891327.750000000000000,73791679190595.828125000000000,74669194727658.296875000000000,75499665874321.640625000000000,76286731745280.437500000000000,77033670883951.453125000000000,77743444071444.750000000000000,78418731308990.796875000000000,79061963852771.359375000000000,79675352037524.734375000000000,80260909506740.687500000000000,80820474368757.921875000000000,81355727716247.531250000000000,81868209878398.890625000000000,82359334718388.125000000000000,82830402241301.218750000000000,83282609738022.359375000000000,83717061657388.078125000000000,84134778370934.046875000000000,84536703971090.812500000000000,84923713223759.703125000000000,85296617779443.890625000000000,85656171732815.000000000000000,86003076608500.640625000000000,10696336235092.162109375000000,63278455814243.984375000000000
-1,10,French Reef Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,265640.932900000363588,77918.054800000041723,11066,4450600.000000000000000,69100.000000000000000,3626639.688682557549328,283564984244618.812500000000000,nan,30254790720925.156250000000000,40778448995937.679687500000000,54691442404751.562500000000000,76508521893696.265625000000000,105294774732424.312500000000000,138437310717227.375000000000000,173601681048932.687500000000000,209147639036788.156250000000000,244041048692370.468750000000000,277679191753331.500000000000000,309742913786621.812500000000000,340091909748301.625000000000000,368695369820452.125000000000000,395587412441255.875000000000000,420838898310293.750000000000000,444539802506135.250000000000000,466788318823530.625000000000000,487684236916149.937500000000000,507325024246097.250000000000000,525803615043075.562500000000000,543207270731577.937500000000000,559617106307816.062500000000000,575108023580287.375000000000000,589748885765817.000000000000000,603602827981789.500000000000000,616727636847971.625000000000000,629176157384174.125000000000000,640996701532785.250000000000000,652233443060162.250000000000000,662926790296716.750000000000000,673113732455722.000000000000000,682828157965744.500000000000000,692101144910678.250000000000000,700961224655801.250000000000000,709434620284723.750000000000000,717545461737753.750000000000000,725315979630590.250000000000000,732766679710601.000000000000000,739916499822629.750000000000000,746782951134174.250000000000000,753382245232409.125000000000000,759729408562126.250000000000000,765838385533774.500000000000000,771722131497166.125000000000000,777392696652184.375000000000000,782861301853965.625000000000000,788138407166455.125000000000000,793233773924830.875000000000000,798156520984023.375000000000000,802915175755327.750000000000000,63142854851579.585937500000000,511592106013965.375000000000000
-1,11,Hen and Chickens Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,245602.823499999940395,66755.284299999475479,13262,38100.000000000000000,1800.000000000000000,34923.292821645751246,5730277064109.137695312500000,nan,513327797382.175903320312500,1327023548864.381835937500000,2142944446848.613769531250000,2881893163639.873046875000000,3527475465229.327636718750000,4085826556334.001953125000000,4568742983861.350585937500000,4988149050293.499023437500000,5354501082437.989257812500000,5676519600947.226562500000000,5961342113143.100585937500000,6214778751960.182617187500000,6441563197527.956054687500000,6645567465414.341796875000000,6829976218317.243164062500000,6997425043207.541992187500000,7150109168585.552734375000000,7289868778860.011718750000000,7418256090040.708984375000000,7536588295987.514648437500000,7645989576258.738281250000000,7747424616595.190429687500000,7841725517509.089843750000000,7929613526362.343750000000000,8011716694351.893554687500000,8088584306944.337890625000000,8160698744653.771484375000000,8228485285395.310546875000000,8292320248491.762695312500000,8352537795194.963867187500000,8409435634908.318359375000000,8463279835419.155273437500000,8514308895815.750000000000000,8562737209726.216796875000000,8608758022072.000000000000000,8652545963185.564453125000000,8694259228747.475585937500000,8734041461688.886718750000000,8772023382317.527343750000000,8808324204936.156250000000000,8843052872752.519531250000000,8876309137599.576171875000000,8908184506672.585937500000000,8938763074943.972656250000000,8968122258994.613281250000000,8996333445577.658203125000000,9023462566224.574218750000000,9049570607521.808593750000000,9074714065286.416015625000000,9098945349690.980468750000000,2474147235223.055664062500000,7445787259801.012695312500000
-1,12,Key Largo Dry Rocks Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,270783.262000000104308,87716.615599999204278,9064,56400.000000000000000,1100.000000000000000,53540.330797433867701,3127954401421.943359375000000,nan,136492833897.024963378906250,290979982621.493041992187500,451515252954.586364746093750,667969482700.810424804687500,962140089022.817871093750000,1323588425007.322753906250000,1731081957782.929199218750000,2164308202935.942382812500000,2607442657091.573730468750000,3049287882042.421386718750000,3482394440142.358886718750000,3902075560543.451171875000000,4305586977732.589355468750000,4691511953562.537109375000000,5059321645496.017578125000000,5409068466621.022460937500000,5741175186304.614257812500000,6056291224102.779296875000000,6355195500197.464843750000000,6638731334478.995117187500000,6907763332561.353515625000000,7163149323497.844726562500000,7405722579423.066406250000000,7636281037052.347656250000000,7855581263561.988281250000000,8064335611627.943359375000000,8263211491545.948242187500000,8452832021585.219726562500000,8633777548180.873046875000000,8806587687333.029296875000000,8971763649570.470703125000000,9129770688039.400390625000000,9281040562993.490234375000000,9425973953307.843750000000000,9564942771527.830078125000000,9698292356836.988281250000000,9826343532561.337890625000000,9949394523111.958984375000000,10067722730778.179687500000000,10181586376348.759765625000000,10291226009752.800781250000000,10396865898179.722656250000000,10498715299773.144531250000000,10596969631174.207031250000000,10691811537098.566406250000000,10783411869842.494140625000000,10871930586211.816406250000000,10957517568909.054687500000000,11040313378918.320312500000000,11120449944930.839843750000000,536081288237.136718750000000,6420472897465.486328125000000
-1,13,Molasses Reef Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,263183.526899999938905,75378.889000000432134,11066,4450600.000000000000000,69100.000000000000000,3626639.688682557549328,283564984244618.812500000000000,nan,30254790720925.156250000000000,40778448995937.679687500000000,54691442404751.562500000000000,76508521893696.265625000000000,105294774732424.312500000000000,138437310717227.375000000000000,173601681048932.687500000000000,209147639036788.156250000000000,244041048692370.468750000000000,277679191753331.500000000000000,309742913786621.812500000000000,340091909748301.625000000000000,368695369820452.125000000000000,395587412441255.875000000000000,420838898310293.750000000000000,444539802506135.250000000000000,466788318823530.625000000000000,487684236916149.937500000000000,507325024246097.250000000000000,525803615043075.562500000000000,543207270731577.937500000000000,559617106307816.062500000000000,575108023580287.375000000000000,589748885765817.000000000000000,603602827981789.500000000000000,616727636847971.625000000000000,629176157384174.125000000000000,640996701532785.250000000000000,652233443060162.250000000000000,662926790296716.750000000000000,673113732455722.000000000000000,682828157965744.500000000000000,692101144910678.250000000000000,700961224655801.250000000000000,709434620284723.750000000000000,717545461737753.750000000000000,725315979630590.250000000000000,732766679710601.000000000000000,739916499822629.750000000000000,746782951134174.250000000000000,753382245232409.125000000000000,759729408562126.250000000000000,765838385533774.500000000000000,771722131497166.125000000000000,777392696652184.375000000000000,782861301853965.625000000000000,788138407166455.125000000000000,793233773924830.875000000000000,798156520984023.375000000000000,802915175755327.750000000000000,63142854851579.585937500000000,511592106013965.375000000000000
-1,14,Tennessee Reef Research Only Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,224877.071000000461936,47919.849300000816584,19368,362400.000000000000000,8240.000000000000000,298281.538790464575868,29712070071294.492187500000000,nan,273136704557.753204345703125,1162951281049.582763671875000,3626133411321.413574218750000,7166063838576.647460937500000,11138429929037.718750000000000,15157598416798.423828125000000,19030946585602.156250000000000,22673484376183.386718750000000,26056117749112.531250000000000,29177768797209.898437500000000,32050737586204.335937500000000,34693069623553.964843750000000,37124612071838.187500000000000,39365023094389.367187500000000,41432820583398.945312500000000,43344983489485.156250000000000,45116843458706.554687500000000,46762124307934.398437500000000,48293051766163.632812500000000,49720491488874.585937500000000,51054093029618.484375000000000,52302428379571.687500000000000,53473119740044.453125000000000,54572954510617.171875000000000,55607987248581.835937500000000,56583629256454.554687500000000,57504726866398.796875000000000,58375629632506.843750000000000,59200249639662.250000000000000,59982113062839.421875000000000,60724405003750.031250000000000,61430008515157.867187500000000,62101538608960.453125000000000,62741371938169.210937500000000,63351672747696.562500000000000,63934415605050.023437500000000,64491405349100.843750000000000,65024294632297.906250000000000,65534599377799.820312500000000,66023712426991.976562500000000,66492915613626.484375000000000,66943390467405.453125000000000,67376227721381.515625000000000,67792435773348.953125000000000,68192948230726.859375000000000,68578630650854.304687500000000,68950286573580.671875000000000,69308662930143.031250000000000,69654454901352.296875000000000,69988310288615.859375000000000,5070046036470.153320312500000,48623759457803.148437500000000
-1,15,The Elbow Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,274542.011500000022352,89963.721699999645352,8814,1589600.000000000000000,40940.000000000000000,1222165.990895033348352,89153996184479.953125000000000,nan,8013277564825.441406250000000,12397467210310.908203125000000,16859995212009.746093750000000,23414957297499.523437500000000,32163959583336.222656250000000,42442201452434.562500000000000,53541978400626.484375000000000,64923434733075.195312500000000,76224561350812.640625000000000,87220762415159.750000000000000,97782713282274.828125000000000,107843855000254.062500000000000,117377708584027.625000000000000,126382713994957.281250000000000,134872313392796.312500000000000,142868546065684.406250000000000,150397952830561.687500000000000,157488986916559.031250000000000,164170403792285.875000000000000,170470285574745.281250000000000,176415475560497.250000000000000,182031276459710.125000000000000,187341316681095.281250000000000,192367522111688.937500000000000,197130152482901.187500000000000,201647875624456.187500000000000,205937862267144.656250000000000,210015890234876.437500000000000,213896450952419.687500000000000,217592853895649.593750000000000,221117326391620.906250000000000,224481107343109.562500000000000,227694534210543.375000000000000,230767123068814.812500000000000,233707641858791.343750000000000,236524177134060.250000000000000,239224194704095.250000000000000,241814594622937.375000000000000,244301760986700.656250000000000,246691606996151.468750000000000,248989615720663.218750000000000,251200876972784.843750000000000,253330120672080.437500000000000,255381747045173.187500000000000,257359853977716.031250000000000,259268261804033.031250000000000,261110535792153.593750000000000,262890006556035.437500000000000,264609788602960.625000000000000,266272797202640.937500000000000,19403846605278.257812500000000,165624004734896.281250000000000