OID,TARGET_FID,Site,Data_Sourc,Selected_I,LON_M,LAT_M,Id,Area,Perim,Capacity,IF_d7852,IF_d0_p0,IF_d5000,IF_d1000,IF_d1500,IF_d2000,IF_d2500,IF_d3000,IF_d3500,IF_d4000,IF_d4500,IF_d5001,IF_d5500,IF_d6000,IF_d6500,IF_d7000,IF_d7500,IF_d8000,IF_d8500,IF_d9000,IF_d9500,IF_d1001,IF_d1050,IF_d1100,IF_d1150,IF_d1200,IF_d1250,IF_d1300,IF_d1350,IF_d1400,IF_d1450,IF_d1501,IF_d1550,IF_d1600,IF_d1650,IF_d1700,IF_d1750,IF_d1800,IF_d1850,IF_d1900,IF_d1950,IF_d2001,IF_d2050,IF_d2100,IF_d2150,IF_d2200,IF_d2250,IF_d2300,IF_d2350,IF_d2400,IF_d2450,IF_d2501,IF_d2576,IF_d1507
-1,1,Looe,NOAA Cory Ames,Yes,158763.691499999724329,23562.138399999588728,21144,489900.000000000000000,14740.000000000000000,381110.961323976691347,6372906878508.654296875000000,nan,186298364967.580963134765625,259755021201.672576904296875,329008746618.929565429687500,392014649469.091857910156250,466441589123.632507324218750,582553190942.846923828125000,771247692373.673095703125000,1054846943981.211791992187500,1444360649876.409423828125000,1940936716718.248291015625000,2538739652673.287109375000000,3227739448877.328125000000000,3995873769857.093750000000000,4830531066876.088867187500000,5719476905855.018554687500000,6651377042983.270507812500000,7616049637463.824218750000000,8604545865809.214843750000000,9609128036318.867187500000000,10623191023829.482421875000000,11641156260283.152343750000000,12658356245327.492187500000000,13670920125504.021484375000000,14675666138015.503906250000000,15670003745430.544921875000000,16651846485457.492187500000000,17619535508247.273437500000000,18571773196180.136718750000000,19507565977304.125000000000000,20426175337229.316406250000000,21327076031296.332031250000000,22209920552714.960937500000000,23074508994412.871093750000000,23920763535195.312500000000000,24748706874415.835937500000000,25558444028101.335937500000000,26350146980598.449218750000000,27124041758209.429687500000000,27880397554873.820312500000000,28619517595143.718750000000000,29341731467241.468750000000000,30047388699669.625000000000000,30736853389516.687500000000000,31410499720074.722656250000000,32068708230357.054687500000000,32711862720253.718750000000000,33340347692943.160156250000000,33954546251291.253906250000000,34554838377747.671875000000000,35141599538034.500000000000000,480622600871.120788574218750,20556280589212.320312500000000
-1,2,New Found Harbor,NOAA Cory Ames,Yes,160213.931200000457466,31225.577400000765920,20483,486300.000000000000000,15440.000000000000000,352591.830337047751527,49865211798654.601562500000000,nan,12453327785328.171875000000000,18736474215959.222656250000000,23549480972482.144531250000000,27491852023624.378906250000000,30830336732820.304687500000000,33717043333450.078125000000000,36248693205307.257812500000000,38491848337161.984375000000000,40495195884513.585937500000000,42295974024678.078125000000000,43923582502779.328125000000000,45401764149005.718750000000000,46750014309390.765625000000000,47984544625881.054687500000000,49118972594365.734375000000000,50164832434028.890625000000000,51131963756233.234375000000000,52028813336980.062500000000000,52862673165317.164062500000000,53639870620713.429687500000000,54365921999720.437500000000000,55045657553664.656250000000000,55683324105943.562500000000000,56282669841582.234375000000000,56847014795253.898437500000000,57379309777707.359375000000000,57882185891335.429687500000000,58357996337887.828125000000000,58808851877243.554687500000000,59236651029069.070312500000000,59643105900063.320312500000000,60029764354511.820312500000000,60398029114857.085937500000000,60749174274211.023437500000000,61084359618598.796875000000000,61404643088616.507812500000000,61710991654982.632812500000000,62004290837329.289062500000000,62285353058657.351562500000000,62554924997433.039062500000000,62813694074193.546875000000000,63062294188669.984375000000000,63301310806078.765625000000000,63531285476739.117187500000000,63752719861007.546875000000000,63966079321304.156250000000000,64171796134380.500000000000000,64370272369668.867187500000000,64561882473379.203125000000000,64746975592713.390625000000000,31296524230447.429687500000000,59296126899626.328125000000000
-1,3,Sombrero,NOAA Cory Ames,Yes,188822.790199999697506,32400.122700000181794,20618,914900.000000000000000,21100.000000000000000,683362.588536739582196,42839357150839.687500000000000,nan,886259913089.177368164062500,1300114615832.273925781250000,1896393306439.194824218750000,3196081695174.861816406250000,5343097608907.646484375000000,8196849626648.822265625000000,11540763297778.498046875000000,15178798864179.076171875000000,18960283641726.359375000000000,22777866696499.328125000000000,26558514189150.664062500000000,30254424758830.882812500000000,33835691228303.625000000000000,37284839831193.640625000000000,40592913998311.507812500000000,43756715962590.828125000000000,46776881671672.398437500000000,49656544161234.000000000000000,52400408913327.187500000000000,55014116677630.656250000000000,57503806722518.828125000000000,59875819889336.601562500000000,62136499220149.804687500000000,64292058694052.492187500000000,66348499461965.492187500000000,68311559124403.648437500000000,70186683887618.351562500000000,71979016436187.703125000000000,73693394469414.000000000000000,75334356336161.109375000000000,76906151255033.234375000000000,78412752353634.500000000000000,79857871291818.859375000000000,81244973612412.093750000000000,82577294232758.484375000000000,83857852682838.937500000000000,85089467832636.640625000000000,86274771948463.609375000000000,87416223986464.593750000000000,88516122079343.953125000000000,89576615205443.109375000000000,90599714051657.234375000000000,91587301096435.640625000000000,92541139948412.359375000000000,93462883981584.625000000000000,94354084310684.250000000000000,95216197151108.312500000000000,96050590607317.687500000000000,96858550932190.203125000000000,97641288297906.468750000000000,5737537932126.214843750000000,75563584733647.812500000000000
-1,4,Cheeca Rocks,NOAA Cory Ames,Yes,238841.830900000408292,63275.476299999281764,13196,14100.000000000000000,740.000000000000000,13277.412974834447596,1862007549444.422363281250000,nan,213734219219.325653076171875,434739744290.133422851562500,638995161865.338623046875000,823170917570.930664062500000,984636733695.229370117187500,1124933295935.067138671875000,1246899046154.123779296875000,1353401970210.313720703125000,1446954255197.992431640625000,1529649118239.187988281250000,1603199634005.255615234375000,1669001470045.125244140625000,1728193634135.712890625000000,1781710015621.434326171875000,1830320958174.004638671875000,1874666101412.183593750000000,1915280133736.757812500000000,1952612972469.225341796875000,1987045622308.609863281250000,2018902696975.963623046875000,2048462363146.592041015625000,2075964286618.206054687500000,2101616022789.349853515625000,2125598188897.346435546875000,2148068676513.173828125000000,2169166103254.806640625000000,2189012657693.056884765625000,2207716457304.484375000000000,2225373513323.611816406250000,2242069376427.879882812500000,2257880521841.113769531250000,2272875520550.462402343750000,2287116034062.874511718750000,2300657662863.709960937500000,2313550673012.836914062500000,2325840620775.777343750000000,2337568891570.646972656250000,2348773166615.144042968750000,2359487828326.852050781250000,2369744313643.344238281250000,2379571422896.714843750000000,2388995590626.599609375000000,2398041123689.475097656250000,2406730411178.914550781250000,2415084109972.573242187500000,2423121309144.483886718750000,2430859675997.624023437500000,2438315586069.875000000000000,2445504239128.083496093750000,2452439762881.199218750000000,1007317247008.176635742187500,2244386123330.138671875000000
-1,5,Horseshoe,NOAA Cory Ames,Yes,271105.315299999900162,89440.865100000053644,9475,316500.000000000000000,21140.000000000000000,243126.290214061824372,14136469515970.093750000000000,nan,321605243293.473388671875000,464714034685.847167968750000,669770958549.759887695312500,1066047404672.310302734375000,1708947666941.660156250000000,2578813806748.760742187500000,3622936253730.546386718750000,4784612263729.408203125000000,6015303441676.460937500000000,7277523235146.800781250000000,8543963486530.568359375000000,9795530708071.509765625000000,11019361139135.822265625000000,12207157278753.861328125000000,13353898766486.220703125000000,14456881549406.832031250000000,15515016677192.169921875000000,16528324711092.720703125000000,17497573876674.738281250000000,18424022451311.667968750000000,19309236213369.578125000000000,20154959758810.738281250000000,20963026414211.750000000000000,21735295783974.644531250000000,22473611071121.312500000000000,23179770532799.617187500000000,23855509020578.074218750000000,24502486692484.675781250000000,25122282798478.695312500000000,25716393026238.937500000000000,26286229315591.718750000000000,26833121354169.828125000000000,27358319187160.468750000000000,27862996533776.027343750000000,28348254519213.507812500000000,28815125615352.507812500000000,29264577644967.777343750000000,29697517749008.339843750000000,30114796249026.675781250000000,30517210360444.050781250000000,30905507729363.554687500000000,31280389777853.062500000000000,31642514851295.761718750000000,31992501167491.894531250000000,32330929571370.996093750000000,32658346101966.917968750000000,32975264380090.707031250000000,33282167826173.925781250000000,33579511718292.113281250000000,33867725100510.503906250000000,1827960856735.729492187500000,25799450746383.914062500000000
-1,6,Turtle Rocks,NOAA Florida Keys National Marine Sanctuary Map Library,No,279746.024000000208616,104591.570100000128150,8137,606400.000000000000000,31480.000000000000000,476981.587630510504823,29327164108718.449218750000000,nan,334076853369.641601562500000,476452083054.882141113281250,903503192196.024658203125000,1861075634259.662841796875000,3384496145349.182617187500000,5370674997490.459960937500000,7680581103730.732421875000000,10188232690233.199218750000000,12794999735714.046875000000000,15429215210499.095703125000000,18041237328179.191406250000000,20598028806864.484375000000000,23078563558632.484375000000000,25470295106457.339843750000000,27766563095423.351562500000000,29964733634916.777343750000000,32064883298826.292968750000000,34068875144337.574218750000000,35979713519463.742187500000000,37801095768970.859375000000000,39537102559037.703125000000000,41191985663799.359375000000000,42770024238566.117187500000000,44275429189950.328125000000000,45712281280894.390625000000000,47084492837810.085937500000000,48395785898205.882812500000000,49649681729212.250000000000000,50849498124781.335937500000000,51998351935681.679687500000000,53099165029737.250000000000000,54154672409219.617187500000000,55167431590196.523437500000000,56139832618907.351562500000000,57074108293555.703125000000000,57972344298269.109375000000000,58836489054815.617187500000000,59668363168104.859375000000000,60469668391427.875000000000000,61241996072560.109375000000000,61986835066326.953125000000000,62705579116018.023437500000000,63399533717260.679687500000000,64069922485227.320312500000000,64717893050452.046875000000000,65344522510921.859375000000000,65950822469078.945312500000000,66537743682388.015625000000000,67106180355431.406250000000000,67656974100432.218750000000000,3660658966035.011718750000000,52158869595758.304687500000000
-1,7,South of Key Colony Beach Marker 48,NOAA Florida Keys National Marine Sanctuary Map Library,No,197008.804999999701977,39486.534299999475479,18555,18600.000000000000000,700.000000000000000,17678.566914796836500,2179613835701.116699218750000,nan,25122739386.463485717773438,188133849035.981536865234375,425673902587.117858886718750,666105555930.688842773437500,886774484206.734130859375000,1083592319514.485107421875000,1257929315203.787109375000000,1412472289659.676269531250000,1549964880559.126708984375000,1672853434932.500976562500000,1783222323881.962646484375000,1882819120332.582763671875000,1973102809814.934326171875000,2055292764795.729003906250000,2130411753637.341064453125000,2199321715328.934570312500000,2262752852347.290039062500000,2321327083069.662109375000000,2375576909410.509277343750000,2425960619124.621582031250000,2472874576761.840820312500000,2516663204912.721191406250000,2557627129902.681640625000000,2596029863852.949707031250000,2632103314675.113281250000000,2666052353007.389648437500000,2698058616556.802246093750000,2728283694648.312011718750000,2756871806494.917968750000000,2783952063861.550781250000000,2809640390904.173339843750000,2834041159894.031738281250000,2857248590414.929199218750000,2879347950790.480468750000000,2900416593452.620117187500000,2920524850313.534179687500000,2939736809656.023437500000000,2958110992374.854980468750000,2975700942412.507812500000000,2992555743791.744628906250000,3008720474646.538574218750000,3024236607007.299804687500000,3039142359736.769042968750000,3053473010885.079101562500000,3067261174794.687500000000000,3080537048501.664062500000000,3093328631323.222656250000000,3105661920970.301269531250000,3117561089056.041503906250000,3129048638479.474121093750000,918302716841.126464843750000,2787713464571.844238281250000
-1,8,Coffins Patch Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,203375.940700000151992,38957.126599999144673,18722,131700.000000000000000,3000.000000000000000,110352.956193685589824,6777046099586.862304687500000,nan,22943247785.455814361572266,42209303776.573295593261719,118882370801.689849853515625,321348055637.355407714843750,666202926370.981201171875000,1128501173994.304687500000000,1672147693200.557861328125000,2264688386864.355468750000000,2881196537997.086425781250000,3503912109719.084472656250000,4120754880263.607910156250000,4723822301539.690429687500000,5308173924733.777343750000000,5870926056811.558593750000000,6410602468936.166992187500000,6926677322326.614257812500000,7419256482672.589843750000000,7888856523422.157226562500000,8336252063985.117187500000000,8762370734438.208007812500000,9168221303114.576171875000000,9554844902269.974609375000000,9923282349855.031250000000000,10274552688608.423828125000000,10609639534822.558593750000000,10929482850306.269531250000000,11234974462044.185546875000000,11526956150860.933593750000000,11806219478874.535156250000000,12073506770884.593750000000000,12329512838170.722656250000000,12574887156014.876953125000000,12810236293498.880859375000000,13036126456196.783203125000000,13253086046569.224609375000000,13461608178309.701171875000000,13662153103227.240234375000000,13855150525056.921875000000000,14041001785713.591796875000000,14220081917259.275390625000000,14392741558194.232421875000000,14559308736283.787109375000000,14720090522494.265625000000000,14875374562081.761718750000000,15025430489729.146484375000000,15170511236026.849609375000000,15310854232696.416015625000000,15446682523842.673828125000000,15578205790288.507812500000000,15705621293697.646484375000000,729941102973.058471679687500,12110843243646.341796875000000
-1,9,Davis Reef Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,250009.411399999633431,65376.984600000083447,12871,112400.000000000000000,5040.000000000000000,81243.079876899748342,5566092639354.011718750000000,nan,38701436057.593658447265625,61249383521.736221313476563,150404314123.232025146484375,360600111328.522766113281250,688037312753.178833007812500,1101457588555.973144531250000,1567744712121.340576171875000,2060604400909.161621093750000,2561435924414.322753906250000,3057891734089.723632812500000,3542168091292.740234375000000,4009599011001.530761718750000,4457626211521.499023437500000,4885080807456.934570312500000,5291693965750.518554687500000,5677767475579.924804687500000,6043953491887.660156250000000,6391108061711.658203125000000,6720194318751.626953125000000,7032219077927.554687500000000,7328191889655.778320312500000,7609099193940.855468750000000,7875888612715.423828125000000,8129460026547.934570312500000,8370661162573.728515625000000,8600286149802.722656250000000,8819075992188.119140625000000,9027720246167.982421875000000,9226859419122.337890625000000,9417087762609.132812500000000,9598956242349.841796875000000,9772975541265.744140625000000,9939619002954.291015625000000,10099325458043.744140625000000,10252501899795.173828125000000,10399525991550.927734375000000,10540748399492.480468750000000,10676494951330.984375000000000,10807068626123.367187500000000,10932751383206.656250000000000,11053805839819.167968750000000,11170476807721.289062500000000,11282992699324.548828125000000,11391566813660.578125000000000,11496398512126.652343750000000,11597674293401.380859375000000,11695568776314.896484375000000,11790245598818.480468750000000,11881858240551.910156250000000,11970550775888.453125000000000,746353866462.150146484375000,9443631818859.966796875000000
-1,10,French Reef Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,265640.932900000363588,77918.054800000041723,10702,857200.000000000000000,26940.000000000000000,670128.328162431949750,37010273684040.656250000000000,nan,1964153580156.680664062500000,2383825579471.528808593750000,2901259517861.262695312500000,3799287679301.401855468750000,5261633618922.577148437500000,7297843067515.882812500000000,9811083740477.078125000000000,12672508933544.798828125000000,15760726650763.789062500000000,18975943799443.882812500000000,22241768362213.136718750000000,25502290207961.886718750000000,28717982275135.269531250000000,31861826458024.804687500000000,34916100645540.382812500000000,37869870217531.148437500000000,40717090829992.679687500000000,43455199015214.609375000000000,46084076235748.070312500000000,48605292545766.718750000000000,51021557045380.640625000000000,53336320256536.398437500000000,55553487719191.140625000000000,57677214871159.390625000000000,59711761283869.210937500000000,61661388218034.085937500000000,63530287772600.218750000000000,65322535044763.593750000000000,67042057012481.679687500000000,68692613525520.390625000000000,70277787015838.523437500000000,71800978435792.828125000000000,73265407592078.984375000000000,74674116528916.687500000000000,76029974972269.875000000000000,77335687111809.156250000000000,78593799193455.359375000000000,79806707540734.265625000000000,80976666730981.078125000000000,82105797732372.875000000000000,83196095866967.281250000000000,84249438508685.234375000000000,85267592457368.484375000000000,86252220953715.156250000000000,87204890316998.546875000000000,88127076199908.093750000000000,89020169463581.031250000000000,89885481682010.656250000000000,90724250289136.500000000000000,91537643384533.671875000000000,5536478690775.656250000000000,68923539932857.179687500000000
-1,11,Hen and Chickens Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,245602.823499999940395,66755.284299999475479,12804,37800.000000000000000,1760.000000000000000,34460.171055793776759,4506191767782.976562500000000,nan,241665982597.051147460937500,703318319625.589477539062500,1184004717932.501708984375000,1644425551944.517333984375000,2064296902065.182128906250000,2439017989451.979980468750000,2770977611916.025390625000000,3064861401887.206542968750000,3325688507283.194335937500000,3558089046339.655273437500000,3766094932601.831054687500000,3953131361311.796386718750000,4122078850950.721679687500000,4275352964378.044433593750000,4414981304294.994140625000000,4542670945139.447265625000000,4659864992931.476562500000000,4767789064373.890625000000000,4867489127616.621093750000000,4959862208732.302734375000000,5045681312339.415039062500000,5125615690103.164062500000000,5200247380734.093750000000000,5270084761916.006835937500000,5335573703109.954101562500000,5397106786259.230468750000000,5455030964672.918945312500000,5509653954144.148437500000000,5561249590468.548828125000000,5610062340490.723632812500000,5656311116799.757812500000000,5700192517012.457031250000000,5741883585492.417968750000000,5781544177016.244140625000000,5819318987277.047851562500000,5855339303413.926757812500000,5889724518342.838867187500000,5922583445071.171875000000000,5954015461018.707031250000000,5984111507352.279296875000000,6012954964250.701171875000000,6040622419644.789062500000000,6067184346217.985351562500000,6092705699155.646484375000000,6117246445234.938476562500000,6140862032263.712890625000000,6163603806554.827148437500000,6185519385012.870117187500000,6206652987479.208007812500000,6227045734193.589843750000000,2124301371030.052001953125000,5616837632794.975585937500000
-1,12,Key Largo Dry Rocks Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,270783.262000000104308,87716.615599999204278,9500,47800.000000000000000,1060.000000000000000,46698.966479301474465,2444757614749.633789062500000,nan,19133836592.693233489990234,50333479810.786651611328125,88910677726.304885864257813,152531839623.219726562500000,253624078672.930633544921875,393217673702.655334472656250,565242101353.685180664062500,761311123884.050537109375000,973360010952.001098632812500,1194653397035.064453125000000,1419964216345.696289062500000,1645417264018.680908203125000,1868236688879.935546875000000,2086497145897.676025390625000,2298912560224.415039062500000,2504668516558.334960937500000,2703293884038.480468750000000,2894564435710.092285156250000,3078431341410.635253906250000,3254968508601.998046875000000,3424334002699.176757812500000,3586741901212.675781250000000,3742441846493.180175781250000,3891704266113.836425781250000,4034809761015.553222656250000,4172041556475.477050781250000,4303680202445.244628906250000,4429999924159.097656250000000,4551266181357.393554687500000,4667734110151.567382812500000,4779647606658.274414062500000,4887238874254.462890625000000,4990728302625.538085937500000,5090324581068.873046875000000,5186224973945.685546875000000,5278615705076.120117187500000,5367672411943.168945312500000,5453560641058.005859375000000,5536436363663.748046875000000,5616446496791.226562500000000,5693729419033.447265625000000,5768415473649.494140625000000,5840627454015.123046875000000,5910481068221.420898437500000,5978085380936.534179687500000,6043543231604.078125000000000,6106951628744.236328125000000,6168402120619.868164062500000,6227981142872.157226562500000,6285770343963.459960937500000,272506375697.904052734375000,4684033966713.083984375000000
-1,13,Molasses Reef Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,263183.526899999938905,75378.889000000432134,11161,622800.000000000000000,21940.000000000000000,491304.443979263480287,26628032721183.839843750000000,nan,1370215592760.576416015625000,1687356877459.718017578125000,2062019105754.589111328125000,2695011311524.945312500000000,3724465218186.079101562500000,5165534196034.096679687500000,6954383057558.853515625000000,9001114007528.277343750000000,11219089701269.943359375000000,13536059861948.867187500000000,15896095852828.644531250000000,18257852952644.574218750000000,20591805074251.769531250000000,22877538479597.281250000000000,25101466557346.167968750000000,27255024422234.066406250000000,29333291317702.484375000000000,31333959792352.589843750000000,33256573215032.265625000000000,35101965839827.835937500000000,36871853672101.359375000000000,38568536756605.335937500000000,40194683456918.679687500000000,41753174945079.453125000000000,43246993862577.343750000000000,44679145367914.882812500000000,46052601915560.820312500000000,47370265406113.742187500000000,48634942028862.054687500000000,49849326350520.273437500000000,51015992108688.843750000000000,52137387834133.343750000000000,53215835916531.937500000000000,54253534090818.429687500000000,55252558589581.429687500000000,56214868406095.390625000000000,57142310260481.445312500000000,58036623971585.750000000000000,58899448019109.859375000000000,59732325141565.960937500000000,60536707861052.718750000000000,61313963859597.484375000000000,62065381156820.953125000000000,62792173057164.757812500000000,63495482848450.312500000000000,64176388243419.273437500000000,64835905562996.890625000000000,65474993665038.828125000000000,66094557625808.109375000000000,66695452183740.976562500000000,3918461715009.419921875000000,50019261662645.640625000000000
-1,14,Tennessee Reef Research Only Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,224877.071000000461936,47919.849300000816584,15979,175300.000000000000000,5160.000000000000000,134935.699152946559479,7444322658201.625976562500000,nan,29608475911.286609649658203,40545142156.205459594726563,88400724994.456771850585938,250817478885.196990966796875,565675138497.335571289062500,1021348684013.194702148437500,1584994488041.558837890625000,2221730480838.607910156250000,2902093659235.503906250000000,3603550908974.976562500000000,4309785294167.087890625000000,5009416084425.691406250000000,5694766894917.886718750000000,6360858404381.930664062500000,7004639323400.463867187500000,7624418723686.792968750000000,8219454379327.334960937500000,8789657143544.196289062500000,9335379864035.763671875000000,9857267247548.078125000000000,10356149447100.605468750000000,10832966950735.085937500000000,11288717868582.769531250000000,11724421249926.718750000000000,12141091874563.347656250000000,12539723255090.113281250000000,12921276507951.525390625000000,13286673408684.705078125000000,13636792417391.857421875000000,13972466798189.435546875000000,14294484199524.316406250000000,14603587237818.033203125000000,14900474754060.029296875000000,15185803505302.964843750000000,15460190120190.855468750000000,15724213196623.326171875000000,15978415455370.292968750000000,16223305889517.992187500000000,16459361868619.115234375000000,16687031170240.515625000000000,16906733921618.800781250000000,17118864441356.316406250000000,17323792976250.585937500000000,17521867332008.718750000000000,17713414399128.750000000000000,17898741576957.128906250000000,18078138100057.097656250000000,18251876271709.667968750000000,18420212609757.324218750000000,18583388910138.257812500000000,626717859062.003173828125000,14019399658764.621093750000000
-1,15,The Elbow Sanctuary Preservation Area,NOAA Florida Keys National Marine Sanctuary Map Library,No,274542.011500000022352,89963.721699999645352,9431,492900.000000000000000,17560.000000000000000,381653.876960277731996,16683416973918.375000000000000,nan,169872367234.715545654296875,353693253228.637756347656250,659086750733.731567382812500,1072956081553.280639648437500,1664608271994.238769531250000,2480383045231.637207031250000,3519725023391.750488281250000,4751685125902.785156250000000,6133629295274.241210937500000,7622704032634.899414062500000,9181118425849.996093750000000,10777804394643.564453125000000,12388311040040.123046875000000,13993983855268.367187500000000,15580953327991.136718750000000,17139166951537.962890625000000,18661552043474.464843750000000,20143328096970.707031250000000,21581458266236.730468750000000,22974219510326.710937500000000,24320869461527.796875000000000,25621390135250.449218750000000,26876291755783.753906250000000,28086463176654.335937500000000,29253058212017.785156250000000,30377409551969.867187500000000,31460963823952.250000000000000,32505232846536.363281250000000,33511757273453.312500000000000,34482079712869.382812500000000,35417725087472.476562500000000,36320186522008.539062500000000,37190915443574.773437500000000,38031314885081.585937500000000,38842735215996.523437500000000,39626471703723.164062500000000,40383763446609.781250000000000,41115793325484.546875000000000,41823688702198.179687500000000,42508522656587.453125000000000,43171315601923.289062500000000,43813037156512.156250000000000,44434608178251.687500000000000,45036902891484.171875000000000,45620751052993.125000000000000,46186940117497.062500000000000,46736217373490.078125000000000,47269292028375.898437500000000,47786837228069.062500000000000,48289492001058.625000000000000,1773965754593.708251953125000,34618156155786.066406250000000